#l;m;n;k;Gflops
1;50176;64;27;7.06e+01
3;50176;64;576;5.84e+01
6;12544;128;576;6.91e+01
8;12544;128;1152;6.91e+01
11;3136;256;1152;7.88e+01
13;3136;256;2304;7.71e+01
18;784;512;2304;8.53e+01
20;784;512;4608;8.01e+01
25;196;512;4608;7.47e+01
